Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
10/11/1993,26.32045364,26.37391428,26.32045364,26.32045364,467100,11,0,41,10,1993
10/12/1993,26.3561039,26.37392412,26.33828368,26.3561039,26200,12,1,41,10,1993
10/13/1993,26.37392412,26.37392412,26.32046346,26.3561039,139100,13,2,41,10,1993
10/14/1993,26.46302405,26.69468689,26.39174318,26.69468689,108100,14,3,41,10,1993
10/15/1993,26.81942954,26.89071041,26.74814866,26.83724976,1502500,15,4,41,10,1993
10/18/1993,26.81942325,26.81942325,26.73032217,26.7659626,722400,18,0,42,10,1993
10/19/1993,26.73032826,26.78378892,26.56994629,26.56994629,880100,19,1,42,10,1993
10/20/1993,26.65905531,26.65905531,26.55213396,26.60559464,230400,20,2,42,10,1993
10/21/1993,26.62340695,26.62340695,26.53430585,26.56994629,56200,21,3,42,10,1993
10/22/1993,26.60558958,26.71251091,26.4452076,26.4452076,390700,22,4,42,10,1993
10/25/1993,26.46301314,26.55211419,26.39173229,26.51647377,114500,25,0,43,10,1993
10/26/1993,26.49866486,26.51648507,26.40956376,26.49866486,186200,26,1,43,10,1993
10/27/1993,26.46301314,26.53429398,26.46301314,26.51647377,118400,27,2,43,10,1993
10/28/1993,26.55211201,26.78377473,26.55211201,26.7124939,129600,28,3,43,10,1993
10/29/1993,26.69467369,26.73031411,26.67685348,26.7124939,80700,29,4,43,10,1993
11/1/1993,26.67686167,26.80160317,26.67686167,26.78378296,36400,1,0,44,11,1993
11/2/1993,26.74814239,26.80160303,26.60558067,26.7659626,262100,2,1,44,11,1993
11/3/1993,26.74814156,26.74814156,26.3026362,26.4273777,479100,3,2,44,11,1993
11/4/1993,26.42737923,26.42737923,26.12443557,26.14225578,130400,4,3,44,11,1993
11/5/1993,26.07096077,26.26698303,25.96403954,26.26698303,363200,5,4,44,11,1993
11/8/1993,26.28481498,26.37391605,26.21353413,26.30263519,367600,8,0,45,11,1993
11/9/1993,26.48083555,26.49865577,26.30263343,26.32045364,246900,9,1,45,11,1993
11/10/1993,26.32045145,26.51647377,26.24917061,26.51647377,46500,10,2,45,11,1993
11/11/1993,26.51648848,26.58776936,26.42738738,26.4452076,88900,11,3,45,11,1993
11/12/1993,26.49866541,26.65904738,26.48084519,26.56994629,108200,12,4,45,11,1993
11/15/1993,26.62340489,26.62340489,26.48084315,26.55212402,243300,15,0,46,11,1993
11/16/1993,26.60557234,26.69467339,26.49865109,26.67685318,492600,16,1,46,11,1993
11/17/1993,26.69467603,26.69467603,26.46301328,26.53429413,39600,17,2,46,11,1993
11/18/1993,26.49865885,26.55211949,26.39173756,26.46301842,240800,18,3,46,11,1993
11/19/1993,26.37390549,26.44518631,26.35608528,26.4095459,106000,19,4,46,11,1993
11/22/1993,26.33826944,26.35608965,26.16006735,26.2491684,165300,22,0,47,11,1993
11/23/1993,26.3917141,26.40953429,26.24915251,26.3917141,89700,23,1,47,11,1993
11/24/1993,26.46302442,26.51648507,26.42738398,26.49866486,77200,24,2,47,11,1993
11/26/1993,26.5699344,26.5699344,26.49865356,26.51647377,1019800,26,4,47,11,1993
11/29/1993,26.58774796,26.64120858,26.4095459,26.4095459,517500,29,0,48,11,1993
11/30/1993,26.39173727,26.5521192,26.37391706,26.4273777,230000,30,1,48,11,1993
12/1/1993,26.5699397,26.58775992,26.46301842,26.46301842,379200,1,2,48,12,1993
12/2/1993,26.51647392,26.55211434,26.46301328,26.53429413,352000,2,3,48,12,1993
12/3/1993,26.51648049,26.641222,26.51648049,26.641222,306000,3,4,48,12,1993
12/6/1993,26.67686124,26.76596231,26.67686124,26.73032188,99500,6,0,49,12,1993
12/7/1993,26.73031411,26.74813432,26.67685348,26.7124939,88800,7,1,49,12,1993
12/8/1993,26.7124939,26.7124939,26.67685348,26.7124939,146700,8,2,49,12,1993
12/9/1993,26.71249698,26.7481374,26.5877555,26.62339592,416500,9,3,49,12,1993
12/10/1993,26.64122716,26.64122716,26.51648563,26.56994629,412900,10,4,49,12,1993
12/13/1993,26.56993995,26.73032188,26.53429952,26.73032188,273200,13,0,50,12,1993
12/14/1993,26.74813666,26.74813666,26.53429413,26.53429413,41900,14,1,50,12,1993
12/15/1993,26.56994573,26.58776595,26.49866486,26.49866486,82600,15,2,50,12,1993
12/16/1993,26.60558305,26.60558305,26.5521224,26.58776283,78200,16,3,50,12,1993
12/17/1993,26.64416428,26.75181747,26.62622209,26.73387527,104700,17,4,50,12,1993
12/20/1993,26.71594115,26.78770996,26.69799895,26.76976776,68800,20,0,51,12,1993
12/21/1993,26.73389752,26.73389752,26.64418645,26.68007088,205700,21,1,51,12,1993
12/22/1993,26.75181528,26.87741066,26.69798869,26.85946846,410300,22,2,51,12,1993
12/23/1993,26.84152794,26.89535453,26.80564354,26.84152794,533800,23,3,51,12,1993
12/27/1993,26.84152408,26.98506165,26.84152408,26.98506165,447100,27,0,52,12,1993
12/28/1993,26.96712776,27.05683876,26.94918556,27.03889656,880600,28,1,52,12,1993
12/29/1993,27.05683066,27.07477286,26.98506188,27.00300407,266700,29,2,52,12,1993
12/30/1993,26.98506622,26.98506622,26.84152863,26.89535522,219900,30,3,52,12,1993
12/31/1993,26.94919726,26.98508167,26.73389075,26.75183296,312900,31,4,52,12,1993
1/3/1994,26.75183973,26.78772416,26.64418645,26.68007088,960900,3,0,1,1,1994
1/4/1994,26.71595659,26.78772545,26.68007216,26.78772545,164300,4,1,1,1,1994
1/5/1994,26.82358574,26.85947014,26.71593255,26.84152794,710900,5,2,1,1,1994
1/6/1994,26.87741233,26.89535453,26.80564354,26.84152794,201000,6,3,1,1,1994
1/7/1994,26.8953509,27.02094627,26.82358212,27.00300407,775500,7,4,1,1,1994
1/10/1994,27.03888884,27.32596397,26.96712006,27.32596397,593700,10,0,2,1,1994
1/11/1994,27.30803445,27.30803445,27.18243902,27.27215004,295200,11,1,2,1,1994
1/12/1994,27.29008346,27.29008346,27.09271928,27.18243027,158400,12,2,2,1,1994
1/13/1994,27.1106739,27.16450052,27.07478949,27.1106739,244300,13,3,2,1,1994
1/14/1994,27.20036149,27.27213025,27.20036149,27.21830368,137200,14,4,2,1,1994
1/17/1994,27.21830368,27.25418806,27.16447711,27.21830368,17700,17,0,3,1,1994
1/18/1994,27.25422859,27.29011303,27.20040194,27.25422859,166400,18,1,3,1,1994
1/19/1994,27.21831466,27.25419906,27.12860367,27.18243027,200800,19,2,3,1,1994
1/20/1994,27.21834416,27.27217081,27.20040194,27.25422859,281100,20,3,3,1,1994
1/21/1994,27.290099,27.290099,27.18244575,27.20038795,85600,21,4,3,1,1994
1/24/1994,27.18243294,27.30802834,27.09272194,27.09272194,373800,24,0,4,1,1994
1/25/1994,27.11066414,27.12860634,27.03889534,27.09272194,310400,25,1,4,1,1994
1/26/1994,27.09274187,27.18245294,27.05685745,27.16451073,145100,26,2,4,1,1994
1/27/1994,27.21832711,27.45157579,27.18244269,27.41569138,344500,27,3,4,1,1994
1/28/1994,27.52334168,27.5771683,27.48745728,27.48745728,356500,28,4,4,1,1994
1/31/1994,27.59510916,27.73864679,27.55922475,27.68482018,313800,31,0,5,1,1994
2/1/1994,27.64893588,27.64893588,27.50539825,27.54128265,303600,1,1,5,2,1994
2/2/1994,27.63099782,27.72070885,27.61305561,27.72070885,307600,2,2,5,2,1994
2/3/1994,27.66686728,27.66686728,27.50538751,27.5950985,466100,3,3,5,2,1994
2/4/1994,27.59511166,27.63099607,26.96713448,26.96713448,1403200,4,4,5,2,1994
2/7/1994,26.89535774,27.16449074,26.89535774,27.09272194,516400,7,0,6,2,1994
2/8/1994,27.14655832,27.14655832,27.00302067,27.1106739,188200,8,1,6,2,1994
2/9/1994,27.12859273,27.23624587,27.09270834,27.21830368,144600,9,2,6,2,1994
2/10/1994,27.20036799,27.21831018,26.98506165,26.98506165,883900,10,3,6,2,1994
2/11/1994,27.00301642,27.14655405,26.87742099,27.07478523,519400,11,4,6,2,1994
2/14/1994,27.02096287,27.20038494,26.98507846,27.1106739,2742100,14,0,7,2,1994
2/15/1994,27.1645175,27.27217081,27.12863307,27.25422859,374700,15,1,7,2,1994
2/16/1994,27.29009562,27.29009562,27.18244238,27.236269,287600,16,2,7,2,1994
2/17/1994,27.36186049,27.37980269,27.00301642,27.07478523,342400,17,3,7,2,1994
2/18/1994,27.09271964,27.11066184,26.84152886,26.91329765,313300,18,4,7,2,1994
2/22/1994,26.98506609,27.18243027,26.98506609,27.18243027,154500,22,1,8,2,1994
2/23/1994,27.21832714,27.23626935,27.02096287,27.1106739,391700,23,2,8,2,1994
2/24/1994,27.02096609,27.02096609,26.73389075,26.75183296,770800,24,3,8,2,1994
2/25/1994,26.78770561,26.87741661,26.73387901,26.87741661,531300,25,4,8,2,1994
2/28/1994,26.94918541,27.02095422,26.87741661,26.87741661,333000,28,0,9,2,1994
3/1/1994,26.87742098,26.93124759,26.62623013,26.76976776,423600,1,1,9,3,1994
3/2/1994,26.42886258,26.8056488,26.35709377,26.8056488,581500,2,2,9,3,1994
3/3/1994,26.76975967,26.76975967,26.66210648,26.73387527,223200,3,3,9,3,1994
3/4/1994,26.73388,26.87741761,26.64416899,26.8056488,595800,4,4,9,3,1994
3/7/1994,26.89536162,26.98507264,26.89536162,26.94918823,539800,7,0,10,3,1994
3/8/1994,26.96712332,26.96712332,26.80564354,26.84152794,880300,8,1,10,3,1994
